27.9123,139.453,507.551,4.6,mb,us6000jj1l,us
31.68213056,-104.394701,6.131567383,2.6,ml,tx2023brpj,tx
34.8994,14.3274,10,5.3,mww,us6000jj05,us
3.1707,127.0414,28.893,5.3,mb,us6000jj00,us
31.66936265,-104.378976,6.131567383,2.8,ml,tx2023brot,tx
2.9579,127.2868,40.251,4.5,mb,us6000jizz,us
31.6676906,-104.3889197,7.391259766,2.7,ml,tx2023brok,tx
31.67159174,-104.3897618,6.131567383,3.5,ml,tx2023brob,tx
2.999,127.0786,52.052,4.4,mb,us6000jizd,us
-21.6237,-68.4797,121.452,4.5,mb,us6000jiz1,us
-26.7346,-63.118,596.117,6.4,mww,us6000jiyj,us
40.4476667,-124.0195,23.54,2.69,md,nc73836746,nc
19.17499924,-155.4996643,34.25,2.47,ml,hv73311792,hv
3.5382,128.5469,10,5.2,mww,us6000jiy0,us
50.0876,142.5264,10,4.5,mb,us6000jixw,us
60.2295,-151.613,60.1,2.6,ml,ak02313y09hm,ak
60.815,-151.6609,71.9,2.6,ml,ak02313wyr96,ak
3.0692,126.9846,35,4.9,mb,us6000jiwc,us
60.9904,-150.9893,11.7,3.3,ml,ak02313woh1x,ak
19.2801,-64.39,36,3.82,md,pr2023024000,pr
19.0253334,-155.4049988,32.31000137,2.56,ml,hv73311597,hv
2.8233,127.0129,35,4.5,mb,us6000jiw4,us
52.532,160.2688,35,4.4,mb,us6000jiw2,us
-21.3068,-68.3886,118.147,4.6,mwr,us6000jivz,us
18.25716667,-67.40433333,13.4,3.06,md,pr71394233,pr
2.8408,127.2582,35,4.7,mb,us6000jivy,us
19.03483391,-155.414505,35.29000092,3.15,ml,hv73311482,hv
19.05433273,-155.409668,34.74000168,2.68,ml,hv73311477,hv
17.968,-65.35033333,33.79,2.74,md,pr71394218,pr
29.5974,81.6522,25.227,5.6,mb,us6000jivm,us
58.7763,-153.1704,62.9,3.1,ml,ak02313twszm,ak
17.927,-66.856,13.33,2.47,md,pr71394208,pr
19.05266762,-155.4071655,34.72000122,2.63,ml,hv73311422,hv
